[['CC83.', 'A Countess from Hong Kong', 'England'], 
['LB9', 'El grand cavalcodos', 'Ultramar'], 
['ChC5', 'Against the Wind', 'Ealing'], 
['NR1', 'They Live By Night', 'RKO'], 
['JLT50', 'Allan Quatermain and the Lost City of Gold', 'Cannon'], 
['JIv42', 'The Remains of the Day', 'Orion'], 
['6-Jan', 'Tomorrow', 'bnw'], 
['JaS13', 'The Dark Pool', 'Shamley'], 
['RHd2', 'Stop Train 349', 'Da Ma'], 
['KRu25', 'Rainbow', 'Vestron'], ['KRu25', 'Rainbow', 'Swank'], ['JRl10', 'Virgins and Vampires', 'Box Office'], ['NiM30', 'Star Trek, Generations', 'Paramount']]
